id	label	x	y
sample1	Mn2n6n	726	565
sample1	Mn2n6n	1542	571
sample1	CD20ng	1014	569
sample1	Mn2p6n	1399	571
sample1	Mp2p6p	1557	572
sample1	Mp2p6p	1577	568
sample1	CD20ng	2374	572
sample1	Mn2p6n	1651	569
sample1	CD20ng	2141	571
sample1	Mn2p6p	2026	570
sample1	Mp2p6p	664	572
sample1	Mp2p6p	1630	571
sample1	Mn2p6p	2210	572
sample1	Mn2n6n	1724	576
sample1	Mn2p6p	1811	574
sample1	Mp2p6p	2225	576
sample1	Mp2p6p	590	576
sample1	Mp2p6p	904	577
sample1	Mn2p6n	1738	576
sample1	Mn2n6p	1992	581
sample1	CD20ng	857	577
sample1	CD20ng	2050	580
sample1	Mn2p6n	1556	582
sample1	Mn2n6p	1667	581
sample1	CD20ng	1344	584
sample1	Mp2p6p	1539	586
sample1	Mp2p6p	1424	587
sample1	CD20ng	1236	585
sample1	CD20ng	1786	586
sample1	Mn2p6p	1595	587
sample1	Mn2p6p	1805	588
sample1	Mn2p6n	1868	588
sample1	CD20ng	1008	589
sample1	Mn2p6p	1615	590
sample1	Mp2p6p	1660	596
sample1	Mn2p6p	1820	591
sample1	Mp2p6p	1559	596
sample1	Mp2p6p	727	596
sample1	CD20ng	1717	596
sample1	Mn2p6p	1049	596
sample1	CD20ng	1248	599
sample1	CD20ng	1390	602
sample1	CD20ng	998	598
sample1	CD20ng	2017	600
sample1	Mn2p6n	1446	603
sample1	Mn2p6n	1778	606
sample1	CD20ng	969	605
sample1	Mn2p6n	1316	604
sample1	Mn2p6p	1705	604
sample1	Mn2p6p	1848	603
sample1	CD20ng	1938	607
sample1	Mp2p6p	1765	608
sample1	Mp2p6p	2269	615
sample1	Mn2p6p	2214	615
sample1	CD20ng	866	614
sample1	Mn2p6p	1545	612
sample1	Mn2p6p	1559	614
sample1	CD20ng	1242	616
sample1	Mn2p6n	1621	613
sample1	Mn2p6p	1771	614
sample1	Mn2p6p	810	617
sample1	CD20ng	2180	614
sample1	Mn2p6p	1842	618
sample1	Mn2p6p	653	621
sample1	Mn2p6n	1914	620
sample1	Mn2p6p	1939	625
sample1	CD20ng	688	621
sample1	Mp2p6p	1260	624
sample1	Mn2p6n	1526	621
sample1	Mn2p6p	1400	624
sample1	Mn2n6p	1321	625
sample1	Mp2p6p	2091	630
sample1	CD20ng	1350	627
sample1	Mn2p6p	2322	628
sample1	Mn2p6p	1157	631
sample1	Mn2p6p	1379	631
sample1	Mp2p6p	1690	629
sample1	Mn2p6p	1133	631
sample1	Mn2p6p	2256	632
sample1	Mp2p6p	1542	637
sample1	Mp2p6p	1526	637
sample1	Mn2p6p	1960	636
sample1	Mn2p6p	2359	638
sample1	CD20ng	1605	645
sample1	Mn2p6p	2282	640
sample1	CD20ng	955	641
sample1	CD20ng	2042	647
sample1	Mn2p6p	1352	642
sample1	CD20ng	2261	642
sample1	Mn2p6p	1380	643
sample1	CD20ng	910	645
sample1	Mn2p6p	1275	644
sample1	Mn2p6p	1206	649
sample1	Mn2p6p	938	649
sample1	Mp2p6p	1339	652
sample1	Mp2p6p	1572	657
sample1	Mp2p6p	1504	650
sample1	Mn2p6p	891	653
sample1	CD20ng	1221	654
sample1	Mp2p6p	1493	653
sample1	Mp2p6n	1646	655
sample1	CD20ng	1589	653
sample1	Mn2p6p	1267	657
sample1	CD20ng	1432	662
sample1	Mp2n6p	1415	666
sample1	Mp2p6p	2382	666
sample1	CD20ng	1835	666
sample1	CD20ng	2347	668
sample1	Mp2p6p	1216	668
sample1	Mp2p6p	1642	669
sample1	Mp2p6p	2192	669
sample1	CD20ng	1551	671
sample1	Mn2p6p	2245	674
sample1	CD20ng	2461	679
sample1	CD20ng	1451	682
sample1	Mp2p6p	2276	679
sample1	Mn2p6n	1789	681
sample1	Mn2p6p	810	680
sample1	Mn2n6p	2438	682
sample1	Mn2p6p	1229	681
sample1	Mn2p6n	1477	681
sample1	Mn2n6n	2262	681
sample1	Mn2p6p	1344	683
sample1	Mn2p6p	754	682
sample1	CD20ng	917	683
sample1	CD20ng	1102	686
sample1	Mn2p6p	1847	687
sample1	Mn2p6p	1871	685
sample1	Mn2p6p	1893	687
sample1	Mn2p6p	1271	687
sample1	Mn2p6n	1591	694
sample1	Mn2p6p	1164	691
sample1	Mn2p6n	1527	689
sample1	Mn2n6p	1796	695
sample1	Mn2p6n	1551	695
sample1	Mn2n6p	1682	694
sample1	Mn2p6p	1815	699
sample1	Mn2p6p	1741	698
sample1	Mn2p6n	1428	698
sample1	CD20ng	2171	699
sample1	Mn2p6p	1175	697
sample1	Mp2p6p	1479	704
sample1	CD20ng	871	701
sample1	Mp2p6p	1112	698
sample1	Mn2p6p	1571	700
sample1	Mp2p6p	2070	700
sample1	Mn2p6n	1661	705
sample1	Mn2p6n	1515	705
sample1	Mp2p6p	2088	706
sample1	Mn2n6n	1881	705
sample1	Mp2p6p	2434	707
sample1	Mn2p6n	1800	710
sample1	CD20ng	851	708
sample1	Mn2n6p	1837	709
sample1	Mp2p6p	2362	710
sample1	Mn2n6p	1502	712
sample1	Mp2p6p	1561	708
sample1	Mn2p6p	1586	711
sample1	CD20ng	1061	714
sample1	Mn2p6p	462	714
sample1	Mp2p6p	2024	720
sample1	Mp2p6n	1812	716
sample1	CD20ng	1919	720
sample1	Mn2p6n	1630	721
sample1	Mp2p6p	1800	723
sample1	Mn2p6p	1679	724
sample1	CD20ng	820	725
sample1	CD20ng	879	729
sample1	Mp2p6p	1085	727
sample1	CD20ng	1058	727
sample1	CD20ng	574	733
sample1	Mn2n6p	1776	728
sample1	Mn2p6p	653	729
sample1	Mn2p6p	1297	726
sample1	Mn2n6n	1421	730
sample1	CD20ng	2269	731
sample1	Mn2p6p	1860	731
sample1	Mn2p6n	1460	735
sample1	Mn2p6p	2234	734
sample1	Mp2p6n	2483	740
sample1	CD20ng	2280	739
sample1	CD20ng	1238	731
sample1	Mn2n6p	1689	735
sample1	Mp2p6p	2387	737
sample1	Mp2p6p	513	738
sample1	CD20ng	1022	743
sample1	Mp2p6p	1176	743
sample1	Mn2p6p	1311	741
sample1	Mp2p6p	1721	742
sample1	CD20ng	2060	743
sample1	Mn2p6p	2399	742
sample1	Mp2p6p	698	744
sample1	Mn2p6p	829	744
sample1	CD20ng	1811	745
